fold,subfold,words,segments,pos_tags
"2","B","[0.7,ديال,المغربيات,لي,خدامات, ...]","[0.7,ديال,ال+مغربي+ات,لي,خدام+ات, ...]","[NUM,PREP,DET+NOUN+NSUFF,PART,V+PRON, ...]"
"3","B","[أخر,موسم,رح,اتابعه,🔥, ...]","[أخر,موسم,رح,اتابع+ه,🔥, ...]","[NOUN,NOUN,PART,V+PRON,EMOT, ...]"
"1","B","[#كلاسيكيات_الابتدائي,-,أستاد,الدليمي,مات, ...]","[#كلاسيكيات_الابتدائي,-,أستاد,ال+دليمي,مات, ...]","[HASH,PUNC,NOUN,DET+NOUN,V, ...]"
"4","B","[@ZahoSghir,أصلا,كان,باين,ان, ...]","[@ZahoSghir,أصل+ا,كان,باين,ان, ...]","[MENTION,NOUN+CASE,V,ADJ,PART, ...]"
"5","A","[أنا,مانسيتش,بلي,أنيس,صوت, ...]","[أنا,ما+نسيت+ش,بلي,أنيس,صوت, ...]","[PRON,PART+V+NEG_PART,ADV,NOUN,V, ...]"
"4","A","[-,إلا,كنتي,راجل,هبط, ...]","[-,إلا,كنت+ي,راجل,هبط, ...]","[PUNC,PART,V+PRON,NOUN,V, ...]"
"4","A","[احب,ريحه,اقلام,السبوره,يخي, ...]","[احب,ريح+ه,اقلام,ال+سبور+ه,يخي, ...]","[V,NOUN+NSUFF,NOUN,DET+NOUN+NSUFF,PART, ...]"
"3","B","[#HananeElKhader,احلى,ربورتاج,فهاد,الموسم, ...]","[#HananeElKhader,احلى,ربورتاج,ف+هاد,ال+موسم, ...]","[HASH,ADJ,NOUN,PREP+PRON,DET+NOUN, ...]"
"3","A","[#AnisBourahla,#IhabAmir,احنا,ولادنا,اعطاوهم, ...]","[#AnisBourahla,#IhabAmir,احنا,ولاد+نا,اعطا+و+هم, ...]","[HASH,HASH,PRON,NOUN+PRON,V+PRON+PRON, ...]"
"2","A","[اخذي,من,الي,كان,بغيك, ...]","[اخذ+ي,من,الي,كان,بغي+ك, ...]","[V+PRON,PREP,PART,V,V+PRON, ...]"
"5","A","[#كلاسيكيات_الابتدائي,استادة,تسالالي,الدفتر,., ...]","[#كلاسيكيات_الابتدائي,استاد+ة,تسالا+ل+ي,ال+دفتر,., ...]","[HASH,NOUN+NSUFF,V+PREP+PRON,DET+NOUN,PUNC, ...]"
"5","A","[@MajdaNasiri,اسمها,noha,azz,راه, ...]","[@MajdaNasiri,اسم+ها,noha,azz,را+ه, ...]","[MENTION,NOUN+NSUFF,URL,FOREIGN,PART+PRON, ...]"
"1","B","[اكدولي,على,👇,🏻,تريكو, ...]","[اكد+و+ل+ي,على,👇,🏻,تريكو, ...]","[V+PRON+PREP+NSUFF,PREP,EMOT,EMOT,NOUN, ...]"
"3","A","[@Fatimae06,اكيد,وليسا,لي,جاي, ...]","[@Fatimae06,اكيد,و+ليسا,لي,جاي, ...]","[MENTION,ADV,CONJ+V,PART,V, ...]"
"1","A","[#كلاسيكيات_الابتدائي,الا,بغيتي,تلقا,الديجيمون, ...]","[#كلاسيكيات_الابتدائي,الا,بغيت+ي,تلقا,ال+ديجيمون, ...]","[HASH,PART,V+PRON,V,DET+NOUN, ...]"
"5","B","[@imaneaymane5,@lhobHanounaRafa,البنات,بليز,الله, ...]","[@imaneaymane5,@lhobHanounaRafa,ال+بن+ات,بليز,الله, ...]","[MENTION,MENTION,DET+NOUN+NSUFF,NOUN,NOUN, ...]"
"5","A","[البنت,صدقات,مراة,لاخر,گالت, ...]","[ال+بنت,صدق+ات,مرا+ة,ل+اخر,گال+ت, ...]","[DET+NOUN,V+PRON,NOUN+NSUFF,DET+NOUN,V+PRON, ...]"
"3","A","[التخبية,ديال,لاتروس,على,مولاها, ...]","[ال+تخبي+ة,ديال,لاتروس,على,مولا+ها, ...]","[DET+NOUN+NSUFF,PREP,NOUN,PREP,NOUN+NSUFF, ...]"
"1","A","[التمكريه,ديال,تحط,كلاسور,في, ...]","[ال+تمكريه,ديال,تحط,كلاسور,في, ...]","[DET+NOUN,PREP,V,NOUN,PREP, ...]"
"3","A","[الخلعة,لي,فيا,على,حنان, ...]","[ال+خلع+ة,لي,في+ا,على,حنان, ...]","[DET+NOUN+NSUFF,PART,PREP+PRON,PREP,NOUN, ...]"
"2","B","[الدار,البيضاء,هي,بوعو,ديال, ...]","[ال+دار,ال+بيضاء,هي,بوعو,ديال, ...]","[DET+NOUN,DET+ADJ,PRON,NOUN,PREP, ...]"
"5","B","[#كلاسيكيات_الابتدائي,الدراري,لاعبين,طاقرباق,بالتصاور, ...]","[#كلاسيكيات_الابتدائي,ال+دراري,لاعب+ين,طاقرباق,ب+ال+تصاور, ...]","[HASH,DET+NOUN,NOUN+NSUFF,NOUN,PREP+DET+NOUN, ...]"
"3","B","[الدفاتر,ديال,24,رقة,ومصور, ...]","[ال+دفاتر,ديال,24,رق+ة,و+مصور, ...]","[DET+NOUN,PREP,NUM,NOUN+NSUFF,CONJ+ADJ, ...]"
"5","A","[#Souhilabenlachhab,#IhabAmir,#StaracArabia,السقاية,الجديدة, ...]","[#Souhilabenlachhab,#IhabAmir,#StaracArabia,ال+سقاي+ة,ال+جديد+ة, ...]","[HASH,HASH,HASH,DET+NOUN+NSUFF,DET+ADJ+NSUFF, ...]"
"1","B","[@aissa_lakehal,السوهابين,واجدين,خويا,عيسى, ...]","[@aissa_lakehal,ال+سوهاب+ين,واجد+ين,خو+يا,عيسى, ...]","[MENTION,DET+NOUN+NSUFF,ADJ+NSUFF,NOUN+PRON,NOUN, ...]"
"3","A","[السيد,سكران,و,تودر,ليه, ...]","[ال+سيد,سكران,و,تودر,لي+ه, ...]","[DET+NOUN,ADJ,CONJ,V,PREP+PRON, ...]"
"2","B","[العالم,عبارة,عن,5,دراهم, ...]","[ال+عالم,عبار+ة,عن,5,دراهم, ...]","[DET+NOUN,NOUN+NSUFF,PREP,NUM,NOUN, ...]"
"3","B","[الفانز,الي,خايفين,على,ولادهم, ...]","[ال+فانز,الي,خايف+ين,على,ولاد+هم, ...]","[DET+NOUN,PART,ADJ+NSUFF,PREP,NOUN+PRON, ...]"
"2","A","[#كلاسيكيات_الابتدائي,القراية,فالقسم,كاتمشي,تجيب, ...]","[#كلاسيكيات_الابتدائي,ال+قراي+ة,ف+ال+قسم,كا+تمشي,تجيب, ...]","[HASH,DET+NOUN+NSUFF,PREP+DET+NOUN,PROG_PART+V,V, ...]"
"5","A","[الكسول,ديال,القسم,ديما,كيبلغ, ...]","[ال+كسول,ديال,ال+قسم,ديما,ك+يبلغ, ...]","[DET+ADJ,PREP,DET+NOUN,ADV,PROG_PART+V, ...]"
"5","B","[#كلاسيكيات_الابتدائي,الكوتسيزو,ديال,حجي,ضد, ...]","[#كلاسيكيات_الابتدائي,ال+كوتسيزو,ديال,حجي,ضد, ...]","[HASH,DET+NOUN,PREP,NOUN,NOUN, ...]"
"2","B","[#كلاسيكيات_اﻻبتدائي,اللصاق,ديال,درهم,للي, ...]","[#كلاسيكيات_اﻻبتدائي,ال+لصاق,ديال,درهم,ل+لي, ...]","[HASH,DET+NOUN,PREP,NOUN,PREP+PART, ...]"
"1","B","[الله,يخزيني,كيف,كاينة,اكتب, ...]","[الله,يخزي+ني,كيف,كاين+ة,اكتب, ...]","[NOUN,V+PRON,PART,ADJ+NSUFF,V, ...]"
"2","B","[#hananeelkhader,الله,ينعل,لي,مايحشم, ...]","[#hananeelkhader,الله,ينعل,لي,ما+يحشم, ...]","[HASH,NOUN,V,PART,PART+V, ...]"
"4","B","[اللي,الآن,مع,كنزة,هذا, ...]","[اللي,ال+آن,مع,كنز+ة,هذا, ...]","[PART,DET+NOUN,CONJ,NOUN+NSUFF,PRON, ...]"
"5","A","[اللي,مضحكني,هاد,الموسم,😂, ...]","[اللي,مضحك+ني,هاد,ال+موسم,😂, ...]","[PART,NOUN+PRON,PRON,DET+NOUN,EMOT, ...]"
